timestamp,L,a,b,label
1760506648.0048642,79.0,103.0,128.0,green
1760506648.0049298,86.0,104.0,124.0,green
1760506648.004965,96.0,104.0,122.0,green
1760506648.0050006,101.0,105.0,118.0,green
1760506648.0050347,111.0,104.0,116.0,green
1760506648.0050766,115.0,105.0,114.0,green
1760506648.0050917,80.0,113.0,114.0,green
1760506648.0050979,67.0,115.0,115.0,green
1760506648.0051036,67.0,113.0,116.0,green
1760506648.0051095,55.0,114.0,119.0,green
1760506648.005115,53.0,113.0,121.0,green
1760506648.0051212,53.0,112.0,123.0,green
1760506648.005127,64.0,109.0,123.0,green
1760506669.4378784,104.0,103.0,119.0,green
1760506669.4379582,97.0,105.0,119.0,green
1760506669.4379747,72.0,112.0,116.0,green
1760506669.437985,75.0,113.0,114.0,green
1760506669.4379947,82.0,113.0,112.0,green
1760506669.4380043,125.0,103.0,113.0,green
1760506669.4380128,123.0,103.0,115.0,green
1760506669.4380217,110.0,104.0,116.0,green
1760506669.4380302,76.0,113.0,114.0,green
1760506669.438039,81.0,112.0,113.0,green
1760506669.4380484,92.0,112.0,110.0,green
1760506669.4380572,66.0,113.0,117.0,green
1760506684.3931136,55.0,113.0,120.0,green
1760506684.3931522,43.0,117.0,118.0,green
1760506684.3931637,43.0,117.0,118.0,green
1760506684.3931696,48.0,117.0,117.0,green
1760506684.3931751,54.0,116.0,117.0,green
1760506684.3931808,66.0,114.0,115.0,green
1760506684.393186,72.0,115.0,113.0,green
1760506684.393191,54.0,115.0,117.0,green
1760506684.3931966,45.0,116.0,118.0,green
1760506684.3932018,52.0,115.0,118.0,green
