epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2975.02,0.71072,1.24205,0.98776,0.98318,0.9747,0.97791,0.79998,0.65141,0.87285,0.89442,0.00047549,0.00047549,0.00047549
2,5850.8,0.70572,0.6017,0.97731,0.97615,0.96986,0.9771,0.81387,0.59866,0.44212,0.86707,0.000932977,0.000932977,0.000932977
3,8671.83,0.69608,0.50107,0.97267,0.97015,0.97417,0.97476,0.80804,0.60785,0.42522,0.87313,0.0013716,0.0013716,0.0013716
4,11522.3,0.67691,0.45263,0.97134,0.97872,0.97941,0.98084,0.837,0.55109,0.3854,0.85134,0.00134412,0.00134412,0.00134412
5,14335.7,0.64982,0.42782,0.95677,0.97254,0.96791,0.97647,0.83579,0.55349,0.36566,0.85058,0.00131582,0.00131582,0.00131582
6,17109.4,0.63222,0.40414,0.9525,0.98777,0.98052,0.98228,0.8462,0.54075,0.30634,0.84563,0.00128753,0.00128753,0.00128753
7,19891,0.62132,0.3899,0.94591,0.98928,0.98209,0.98426,0.86126,0.51546,0.29578,0.83873,0.00125923,0.00125923,0.00125923
8,22681.4,0.61049,0.38262,0.94581,0.98158,0.98251,0.97956,0.85547,0.51235,0.29333,0.8328,0.00123094,0.00123094,0.00123094
9,25473.2,0.60071,0.37021,0.93921,0.98513,0.9808,0.98338,0.86614,0.50038,0.2773,0.82915,0.00120265,0.00120265,0.00120265
10,28267.5,0.59669,0.37046,0.9389,0.98446,0.98052,0.98229,0.86449,0.50749,0.2888,0.82809,0.00117435,0.00117435,0.00117435
